year,week,home_team,away_team,home_qb,away_qb
2025,1,PHI,DAL,J.Hurts,D.Prescott
2025,1,LAC,KC,J.Herbert,P.Mahomes
2025,1,ATL,TB,M.Penix,B.Mayfield
2025,1,CLE,CIN,J.Flacco,J.Burrow
2025,1,IND,MIA,D.Jones,T.Tagovailoa
2025,1,JAX,CAR,T.Lawrence,B.Young
2025,1,NE,LV,D.Maye,G.Smith
2025,1,NO,ARI,S.Rattler,K.Murray
2025,1,NYJ,PIT,J.Fields,A.Rodgers
2025,1,WAS,NYG,J.Daniels,R.Wilson
2025,1,DEN,TEN,B.Nix,C.Ward
2025,1,SEA,SF,S.Darnold,B.Purdy
2025,1,GB,DET,J.Love,J.Goff
2025,1,LA,HOU,M.Stafford,C.Stroud
2025,1,BUF,BAL,J.Allen,L.Jackson
2025,1,CHI,MIN,C.Williams,J.McCarthy
